order_id,customer_id,product_id,channel,order_date,quantity,selling_price,cost_price,coupon_discount,revenue,profit
ORD10026,C00576,P00098,WeChat Mini Program,2024-12-26,2,219.95,137.74,0.0,439.9,164.42
ORD10027,C00262,P00010,WeChat Mini Program,2025-09-24,1,101.1,57.86,0.0,101.1,43.24
ORD10028,C00869,P00109,Online,2024-12-25,1,922.72,466.16,0.0,922.72,456.56
ORD10029,C00820,P00087,WeChat Mini Program,2025-07-31,1,309.79,242.35,0.0,309.79,67.44
ORD10030,C00565,P00184,WeChat Mini Program,2025-07-22,3,381.19,232.59,0.0,1143.57,445.8
ORD10031,C00006,P00109,Online,2025-10-18,2,922.72,466.16,0.0,1845.44,913.12
ORD10032,C00428,P00022,Online,2025-06-27,3,628.46,367.51,0.0,1885.38,782.85
ORD10033,C00920,P00053,Online,2025-10-23,2,441.17,294.54,13.16,869.18,280.1
ORD10034,C00272,P00194,Online,2025-02-05,1,515.35,315.81,17.67,497.68,181.87
ORD10035,C00946,P00101,Online,2024-12-21,1,757.93,495.35,0.0,757.93,262.58
ORD10036,C00243,P00165,Online,2025-06-09,2,348.1,270.74,0.0,696.2,154.72
ORD10037,C00848,P00168,Online,2025-09-06,2,377.58,272.31,0.0,755.16,210.54
ORD10038,C00672,P00000,Online,2025-05-11,2,182.16,99.88,12.4,351.92,152.16
ORD10039,C00501,P00003,Offline,2025-05-01,1,564.16,469.89,2.33,561.83,91.94
ORD10040,C00919,P00035,Offline,2025-03-07,3,173.0,129.62,0.0,519.0,130.14
ORD10041,C00845,P00120,Online,2024-11-20,3,653.72,374.66,8.66,1952.5,828.52
ORD10042,C00259,P00164,Online,2025-09-04,2,39.21,27.97,0.0,78.42,22.48
ORD10043,C00038,P00131,Online,2025-08-09,3,224.88,147.08,0.0,674.64,233.4
ORD10044,C00267,P00035,Offline,2025-05-04,3,173.0,129.62,0.0,519.0,130.14
ORD10045,C00256,P00126,WeChat Mini Program,2025-01-30,2,529.42,317.5,14.44,1044.4,409.4
ORD10046,C00711,P00151,Online,2025-02-13,2,353.25,251.14,0.0,706.5,204.22
ORD10047,C00356,P00029,Offline,2024-12-07,2,172.99,89.0,0.0,345.98,167.98
ORD10048,C00629,P00093,Online,2025-07-08,1,343.27,200.2,4.53,338.74,138.54
ORD10049,C00746,P00189,Online,2025-07-20,3,123.82,98.8,0.0,371.46,75.06
ORD10050,C00949,P00017,Offline,2025-04-24,2,362.21,275.92,0.0,724.42,172.58
ORD10051,C00420,P00185,Online,2025-02-07,2,310.35,167.95,0.0,620.7,284.8
ORD10052,C00890,P00195,Online,2025-02-05,2,237.62,123.78,18.71,456.53,208.97
ORD10053,C00425,P00024,Online,2025-01-28,3,517.84,285.03,17.33,1536.19,681.1
ORD10054,C00678,P00155,Online,2025-05-02,3,709.73,449.43,0.0,2129.19,780.9
ORD10055,C00953,P00172,WeChat Mini Program,2025-06-07,1,540.89,326.5,0.0,540.89,214.39
ORD10056,C00479,P00186,Online,2025-08-26,2,14.65,11.33,8.84,20.46,-2.2
ORD10057,C00878,P00130,Online,2025-10-18,1,262.68,186.57,0.0,262.68,76.11
ORD10058,C00517,P00139,Online,2025-01-20,1,819.46,498.35,0.0,819.46,321.11
ORD10059,C00903,P00007,WeChat Mini Program,2025-10-10,3,392.17,197.41,0.0,1176.51,584.28
ORD10060,C00596,P00194,Online,2025-10-13,1,515.35,315.81,0.0,515.35,199.54
ORD10061,C00008,P00059,Online,2025-09-27,3,478.33,248.5,0.0,1434.99,689.49
ORD10062,C00225,P00168,WeChat Mini Program,2025-02-25,1,377.58,272.31,0.0,377.58,105.27
ORD10063,C00265,P00109,Online,2025-09-06,1,922.72,466.16,2.47,920.25,454.09
ORD10064,C00367,P00077,Online,2025-08-10,3,756.24,482.97,0.0,2268.72,819.81
ORD10065,C00964,P00170,Online,2025-05-13,1,456.07,273.18,5.72,450.35,177.17
ORD10066,C00314,P00187,Online,2025-02-04,3,351.7,180.95,0.0,1055.1,512.25
ORD10067,C00671,P00110,Online,2025-06-12,1,432.37,226.35,19.77,412.6,186.25
ORD10068,C00322,P00153,Offline,2025-08-11,3,160.95,127.67,0.0,482.85,99.84
ORD10069,C00268,P00196,Online,2025-03-02,2,771.81,454.17,0.0,1543.62,635.28
ORD10070,C00065,P00044,Online,2025-09-19,3,521.81,299.54,0.0,1565.43,666.81
ORD10071,C00110,P00182,Offline,2024-12-09,3,442.44,309.2,17.49,1309.83,382.23
ORD10072,C00373,P00044,Online,2025-06-25,1,521.81,299.54,0.0,521.81,222.27
ORD10073,C00886,P00150,Online,2025-08-06,2,646.39,351.84,0.0,1292.78,589.1
ORD10074,C00731,P00091,Offline,2025-08-20,3,584.21,345.14,0.0,1752.63,717.21
ORD10075,C00691,P00125,Online,2025-02-11,2,125.6,91.45,0.0,251.2,68.3
ORD10076,C00167,P00079,Offline,2025-03-10,3,859.39,485.07,0.0,2578.17,1122.96
ORD10077,C00661,P00015,Offline,2025-04-26,2,46.96,32.16,14.6,79.32,15.0
ORD10078,C00213,P00084,Online,2025-01-28,1,475.66,309.74,0.0,475.66,165.92
ORD10079,C00645,P00150,Online,2025-10-13,3,646.39,351.84,0.0,1939.17,883.65
ORD10080,C00351,P00157,WeChat Mini Program,2025-03-30,3,196.56,146.51,13.12,576.56,137.03
ORD10081,C00614,P00150,Online,2025-01-31,3,646.39,351.84,0.0,1939.17,883.65
ORD10082,C00434,P00169,Online,2025-10-10,3,627.71,342.76,13.9,1869.23,840.95
ORD10083,C00108,P00056,Offline,2025-02-02,1,338.46,252.01,0.0,338.46,86.45
ORD10084,C00342,P00147,Online,2025-03-01,1,827.1,490.43,0.0,827.1,336.67
ORD10085,C00961,P00024,Online,2025-08-28,2,517.84,285.03,0.0,1035.68,465.62
ORD10086,C00549,P00133,Online,2025-03-26,2,618.13,365.6,0.0,1236.26,505.06
ORD10087,C00502,P00116,Online,2025-04-05,3,569.12,379.16,0.0,1707.36,569.88
ORD10088,C00240,P00115,Online,2025-06-29,3,613.23,441.38,0.0,1839.69,515.55
ORD10089,C00995,P00152,Online,2025-03-10,3,464.35,314.19,0.0,1393.05,450.48
ORD10090,C00911,P00146,WeChat Mini Program,2024-11-29,2,553.58,313.95,0.0,1107.16,479.26
ORD10091,C00640,P00041,Online,2025-10-06,3,74.22,49.62,0.0,222.66,73.8
ORD10092,C00344,P00124,Offline,2024-11-25,2,75.84,46.16,16.63,135.05,42.73
ORD10093,C00490,P00038,Offline,2024-11-14,2,705.14,498.89,0.0,1410.28,412.5
ORD10094,C00273,P00187,Online,2025-09-29,3,351.7,180.95,12.99,1042.11,499.26
ORD10095,C00520,P00108,Offline,2025-06-01,3,694.18,378.66,17.72,2064.82,928.84
ORD10096,C00246,P00004,Offline,2025-03-30,3,257.68,159.08,0.0,773.04,295.8
ORD10097,C00524,P00003,WeChat Mini Program,2025-09-30,1,564.16,469.89,17.6,546.56,76.67
ORD10098,C00495,P00190,Online,2024-11-13,2,554.24,422.5,4.41,1104.07,259.07
ORD10099,C00508,P00041,WeChat Mini Program,2025-03-25,1,74.22,49.62,15.16,59.06,9.44
ORD10100,C00307,P00198,Online,2025-09-12,3,453.24,252.76,0.0,1359.72,601.44
ORD10101,C00831,P00084,WeChat Mini Program,2025-05-29,2,475.66,309.74,0.0,951.32,331.84
ORD10102,C00734,P00088,Online,2025-08-07,3,146.77,94.87,13.43,426.88,142.27
ORD10103,C00012,P00121,Offline,2025-02-18,3,276.7,193.69,0.0,830.1,249.03
ORD10104,C00697,P00098,Online,2025-10-10,1,219.95,137.74,8.11,211.84,74.1
ORD10105,C00466,P00125,Online,2025-03-28,1,125.6,91.45,0.0,125.6,34.15
ORD10106,C00216,P00182,Offline,2025-08-01,1,442.44,309.2,0.0,442.44,133.24
ORD10107,C00611,P00006,Online,2025-09-05,1,296.57,189.52,0.0,296.57,107.05
ORD10108,C00231,P00178,Online,2025-06-12,3,804.67,434.1,0.0,2414.01,1111.71
ORD10109,C00702,P00172,WeChat Mini Program,2025-04-08,2,540.89,326.5,0.0,1081.78,428.78
ORD10110,C00920,P00005,Offline,2025-06-07,2,406.02,267.14,0.0,812.04,277.76
ORD10111,C00920,P00182,Offline,2025-04-05,3,442.44,309.2,0.0,1327.32,399.72
ORD10112,C00114,P00125,Online,2025-01-18,2,125.6,91.45,8.91,242.29,59.39
ORD10113,C00687,P00020,Offline,2025-10-29,2,68.81,46.28,0.0,137.62,45.06
ORD10114,C00178,P00019,Online,2025-06-06,3,190.05,107.43,0.0,570.15,247.86
ORD10115,C00620,P00128,Offline,2025-05-23,2,91.5,62.31,17.46,165.54,40.92
ORD10116,C00757,P00103,WeChat Mini Program,2024-11-05,3,116.34,60.53,1.76,347.26,165.67
ORD10117,C00086,P00040,WeChat Mini Program,2025-08-29,1,558.18,343.55,0.0,558.18,214.63
ORD10118,C00574,P00164,Offline,2025-06-01,3,39.21,27.97,0.0,117.63,33.72
ORD10119,C00559,P00002,Offline,2025-02-11,2,137.66,80.0,0.0,275.32,115.32
ORD10120,C00252,P00060,Online,2025-08-04,3,425.83,256.29,0.0,1277.49,508.62
ORD10121,C00501,P00078,Online,2024-12-01,3,372.26,211.56,0.0,1116.78,482.1
ORD10122,C00246,P00007,Offline,2025-05-13,3,392.17,197.41,0.0,1176.51,584.28
ORD10123,C00865,P00095,Offline,2025-07-18,2,157.93,111.28,0.0,315.86,93.3
ORD10124,C00780,P00000,Online,2025-01-22,2,182.16,99.88,0.0,364.32,164.56
ORD10125,C00097,P00081,Online,2025-05-15,1,76.56,49.63,0.0,76.56,26.93
ORD10126,C00013,P00135,Online,2025-06-01,1,487.87,245.38,0.0,487.87,242.49
ORD10127,C00567,P00093,Online,2025-01-28,1,343.27,200.2,0.0,343.27,143.07
ORD10128,C00290,P00015,WeChat Mini Program,2025-03-12,1,46.96,32.16,5.54,41.42,9.26
ORD10129,C00502,P00129,WeChat Mini Program,2025-10-20,2,351.71,237.21,0.0,703.42,229.0
ORD10130,C00984,P00068,Online,2024-11-20,3,193.23,134.54,4.08,575.61,171.99
ORD10131,C00708,P00169,Online,2025-07-27,3,627.71,342.76,0.0,1883.13,854.85
ORD10132,C00831,P00021,WeChat Mini Program,2025-04-10,2,462.0,315.42,0.0,924.0,293.16
ORD10133,C00608,P00017,Offline,2025-02-09,1,362.21,275.92,10.25,351.96,76.04
ORD10134,C00081,P00026,Online,2024-12-06,1,43.41,25.4,0.0,43.41,18.01
ORD10135,C00104,P00182,Online,2025-01-13,2,442.44,309.2,1.08,883.8,265.4
ORD10136,C00873,P00055,Offline,2024-11-22,2,454.46,329.46,0.0,908.92,250.0
ORD10137,C00228,P00170,Offline,2025-01-22,2,456.07,273.18,0.0,912.14,365.78
ORD10138,C00498,P00029,Offline,2025-09-14,3,172.99,89.0,0.0,518.97,251.97
ORD10139,C00145,P00105,Offline,2025-01-13,2,900.72,479.69,0.0,1801.44,842.06
ORD10140,C00067,P00048,WeChat Mini Program,2025-11-02,1,235.68,136.39,0.0,235.68,99.29
ORD10141,C00845,P00008,Online,2025-10-02,2,411.22,307.7,16.38,806.06,190.66
ORD10142,C00127,P00019,WeChat Mini Program,2025-09-28,1,190.05,107.43,0.0,190.05,82.62
ORD10143,C00368,P00023,Offline,2025-01-26,2,390.79,197.63,0.0,781.58,386.32
ORD10144,C00950,P00059,Online,2025-08-17,1,478.33,248.5,0.0,478.33,229.83
ORD10145,C00211,P00125,Online,2024-12-16,2,125.6,91.45,0.0,251.2,68.3
ORD10146,C00157,P00111,Offline,2025-03-06,1,848.33,484.64,0.0,848.33,363.69
ORD10147,C00470,P00109,WeChat Mini Program,2024-12-30,3,922.72,466.16,1.41,2766.75,1368.27
ORD10148,C00802,P00113,Online,2025-09-08,1,391.05,204.36,0.0,391.05,186.69
ORD10149,C00932,P00064,WeChat Mini Program,2025-06-11,1,433.76,219.81,0.0,433.76,213.95
ORD10150,C00491,P00122,WeChat Mini Program,2025-04-21,2,583.06,481.98,0.0,1166.12,202.16
ORD10151,C00064,P00099,WeChat Mini Program,2025-04-24,1,605.17,318.18,0.0,605.17,286.99
ORD10152,C00534,P00134,Online,2025-09-27,3,373.3,280.28,0.0,1119.9,279.06
ORD10153,C00451,P00077,Online,2025-02-08,3,756.24,482.97,0.0,2268.72,819.81
ORD10154,C00433,P00124,Online,2025-03-24,2,75.84,46.16,0.0,151.68,59.36
ORD10155,C00872,P00083,Offline,2025-07-01,1,474.89,333.5,0.0,474.89,141.39
ORD10156,C00210,P00145,Online,2025-02-09,3,271.52,207.71,0.0,814.56,191.43
ORD10157,C00460,P00134,Online,2024-12-01,2,373.3,280.28,0.0,746.6,186.04
ORD10158,C00547,P00108,WeChat Mini Program,2025-06-11,1,694.18,378.66,0.0,694.18,315.52
ORD10159,C00129,P00054,WeChat Mini Program,2025-10-06,3,16.58,12.48,0.0,49.74,12.3
ORD10160,C00719,P00077,Online,2024-12-09,3,756.24,482.97,0.0,2268.72,819.81
ORD10161,C00412,P00033,Online,2025-04-22,3,406.64,219.28,0.0,1219.92,562.08
ORD10162,C00313,P00031,Offline,2024-12-17,3,729.84,447.35,0.0,2189.52,847.47
ORD10163,C00572,P00013,Offline,2024-11-10,3,353.02,288.17,0.0,1059.06,194.55
ORD10164,C00089,P00157,WeChat Mini Program,2025-03-10,1,196.56,146.51,0.0,196.56,50.05
ORD10165,C00626,P00190,Offline,2025-09-07,1,554.24,422.5,0.0,554.24,131.74
ORD10166,C00573,P00154,Offline,2025-09-20,2,133.64,78.03,0.0,267.28,111.22
ORD10167,C00441,P00129,Online,2025-02-26,3,351.71,237.21,0.0,1055.13,343.5
ORD10168,C00600,P00187,Online,2025-05-26,2,351.7,180.95,0.0,703.4,341.5
ORD10169,C00175,P00170,Online,2024-12-15,1,456.07,273.18,0.0,456.07,182.89
ORD10170,C00365,P00119,Offline,2025-06-08,1,519.94,290.02,0.0,519.94,229.92
ORD10171,C00351,P00120,Online,2025-03-21,1,653.72,374.66,11.41,642.31,267.65
ORD10172,C00093,P00167,Offline,2025-10-11,1,28.91,19.83,0.0,28.91,9.08
ORD10173,C00924,P00151,Online,2025-08-05,2,353.25,251.14,18.33,688.17,185.89
ORD10174,C00081,P00016,Online,2025-04-10,3,458.17,274.45,10.04,1364.47,541.12
ORD10175,C00375,P00119,Offline,2025-02-20,1,519.94,290.02,0.0,519.94,229.92
ORD10176,C00154,P00014,Online,2025-07-09,3,901.13,470.35,9.75,2693.64,1282.59
ORD10177,C00153,P00153,Online,2025-10-08,1,160.95,127.67,18.34,142.61,14.94
ORD10178,C00786,P00016,Online,2025-01-19,1,458.17,274.45,0.0,458.17,183.72
ORD10179,C00642,P00106,Offline,2025-04-07,3,932.27,475.53,0.0,2796.81,1370.22
ORD10180,C00867,P00116,Offline,2024-12-20,2,569.12,379.16,0.0,1138.24,379.92
ORD10181,C00407,P00188,Offline,2025-03-13,1,409.06,210.17,1.25,407.81,197.64
ORD10182,C00143,P00185,Offline,2025-10-18,2,310.35,167.95,0.0,620.7,284.8
ORD10183,C00335,P00070,Offline,2025-08-30,2,751.42,406.59,5.84,1497.0,683.82
ORD10184,C00537,P00120,Online,2025-01-06,3,653.72,374.66,0.0,1961.16,837.18
ORD10185,C00764,P00153,WeChat Mini Program,2025-02-20,2,160.95,127.67,19.24,302.66,47.32
ORD10186,C00928,P00012,Offline,2025-02-10,2,179.17,99.3,0.0,358.34,159.74
ORD10187,C00815,P00167,Online,2025-01-30,3,28.91,19.83,0.0,86.73,27.24
ORD10188,C00336,P00047,Offline,2025-01-27,3,609.93,341.09,0.0,1829.79,806.52
ORD10189,C00182,P00011,Offline,2025-02-12,2,310.12,252.64,0.0,620.24,114.96
ORD10190,C00673,P00043,Offline,2025-03-18,1,134.71,83.85,0.0,134.71,50.86
ORD10191,C00277,P00017,Online,2025-03-07,2,362.21,275.92,0.0,724.42,172.58
ORD10192,C00050,P00070,Offline,2024-11-23,2,751.42,406.59,17.03,1485.81,672.63
ORD10193,C00356,P00047,Online,2025-01-12,3,609.93,341.09,16.55,1813.24,789.97
ORD10194,C00580,P00022,Offline,2024-11-13,3,628.46,367.51,5.73,1879.65,777.12
ORD10195,C00153,P00148,Offline,2025-07-29,2,97.23,54.59,0.0,194.46,85.28
ORD10196,C00471,P00124,Online,2024-11-18,3,75.84,46.16,0.0,227.52,89.04
ORD10197,C00651,P00037,Offline,2025-06-30,2,213.1,133.37,14.52,411.68,144.94
ORD10198,C00656,P00194,Online,2025-07-19,3,515.35,315.81,0.0,1546.05,598.62
ORD10199,C00396,P00097,Online,2025-06-06,1,311.96,166.3,0.0,311.96,145.66
ORD10200,C00196,P00018,WeChat Mini Program,2025-01-24,2,27.17,17.66,0.0,54.34,19.02
ORD10201,C00391,P00124,Offline,2025-03-24,1,75.84,46.16,0.0,75.84,29.68
ORD10202,C00761,P00138,Online,2025-06-20,2,71.17,37.62,0.0,142.34,67.1
ORD10203,C00111,P00007,Offline,2025-11-01,1,392.17,197.41,0.0,392.17,194.76
ORD10204,C00437,P00085,Offline,2025-09-06,2,462.0,381.34,0.0,924.0,161.32
ORD10205,C00215,P00086,Offline,2025-03-13,2,81.35,56.14,0.0,162.7,50.42
ORD10206,C00245,P00188,Online,2024-12-18,2,409.06,210.17,0.0,818.12,397.78
ORD10207,C00377,P00133,Offline,2025-07-04,2,618.13,365.6,0.0,1236.26,505.06
ORD10208,C00265,P00119,WeChat Mini Program,2025-07-10,2,519.94,290.02,0.0,1039.88,459.84
ORD10209,C00381,P00038,Online,2024-11-22,1,705.14,498.89,0.0,705.14,206.25
ORD10210,C00971,P00047,Online,2025-01-17,2,609.93,341.09,0.0,1219.86,537.68
ORD10211,C00937,P00031,WeChat Mini Program,2024-11-29,3,729.84,447.35,0.0,2189.52,847.47
ORD10212,C00056,P00179,Online,2025-10-13,1,731.59,412.22,0.0,731.59,319.37
ORD10213,C00454,P00032,WeChat Mini Program,2024-11-22,3,355.42,184.59,0.0,1066.26,512.49
ORD10214,C00225,P00083,Online,2025-07-08,2,474.89,333.5,0.0,949.78,282.78
ORD10215,C00087,P00071,Online,2025-04-25,1,60.18,49.98,15.33,44.85,-5.13
ORD10216,C00138,P00193,WeChat Mini Program,2025-04-17,1,374.92,202.3,0.0,374.92,172.62
ORD10217,C00807,P00088,Online,2025-06-02,1,146.77,94.87,4.03,142.74,47.87
ORD10218,C00250,P00053,Online,2025-03-24,2,441.17,294.54,9.71,872.63,283.55
ORD10219,C00056,P00111,Offline,2025-05-05,1,848.33,484.64,0.0,848.33,363.69
ORD10220,C00258,P00089,Offline,2025-05-09,2,907.09,475.08,0.0,1814.18,864.02
ORD10221,C00897,P00107,WeChat Mini Program,2025-01-20,1,92.41,54.94,0.0,92.41,37.47
ORD10222,C00257,P00126,Offline,2025-08-13,2,529.42,317.5,0.0,1058.84,423.84
ORD10223,C00015,P00150,Offline,2025-05-11,1,646.39,351.84,0.0,646.39,294.55
ORD10224,C00996,P00140,Offline,2025-09-30,1,572.32,380.97,6.32,566.0,185.03
ORD10225,C00654,P00105,Online,2025-07-25,3,900.72,479.69,0.0,2702.16,1263.09
ORD10226,C00751,P00084,Online,2024-11-15,2,475.66,309.74,0.0,951.32,331.84
ORD10227,C00662,P00084,Online,2025-06-29,1,475.66,309.74,0.0,475.66,165.92
ORD10228,C00935,P00150,WeChat Mini Program,2025-05-12,3,646.39,351.84,0.0,1939.17,883.65
ORD10229,C00335,P00158,Online,2025-08-31,2,403.67,271.87,0.0,807.34,263.6
ORD10230,C00352,P00008,Offline,2025-07-06,2,411.22,307.7,0.0,822.44,207.04
ORD10231,C00098,P00196,WeChat Mini Program,2025-06-18,1,771.81,454.17,0.0,771.81,317.64
ORD10232,C00364,P00111,WeChat Mini Program,2025-01-18,2,848.33,484.64,0.0,1696.66,727.38
ORD10233,C00180,P00032,Online,2025-02-17,1,355.42,184.59,0.0,355.42,170.83
ORD10234,C00585,P00170,Offline,2025-04-19,3,456.07,273.18,7.74,1360.47,540.93
ORD10235,C00306,P00009,Online,2024-11-08,3,778.57,471.68,0.0,2335.71,920.67
ORD10236,C00999,P00035,WeChat Mini Program,2025-02-10,1,173.0,129.62,0.0,173.0,43.38
ORD10237,C00572,P00052,Online,2025-01-06,1,411.37,324.6,0.0,411.37,86.77
ORD10238,C00104,P00003,Online,2025-07-17,1,564.16,469.89,5.83,558.33,88.44
ORD10239,C00335,P00075,Online,2025-10-24,2,604.33,431.6,0.0,1208.66,345.46
ORD10240,C00863,P00016,Online,2025-10-17,3,458.17,274.45,0.0,1374.51,551.16
ORD10241,C00757,P00166,Online,2025-08-25,3,262.7,204.61,0.0,788.1,174.27
ORD10242,C00432,P00058,Online,2025-05-22,3,450.64,321.8,13.83,1338.09,372.69
ORD10243,C00246,P00125,Online,2025-04-21,3,125.6,91.45,0.0,376.8,102.45
ORD10244,C00950,P00176,Offline,2025-01-23,1,79.86,49.31,0.0,79.86,30.55
ORD10245,C00910,P00026,Online,2025-05-18,2,43.41,25.4,0.0,86.82,36.02
ORD10246,C00113,P00123,Online,2025-09-11,1,207.58,168.12,0.0,207.58,39.46
ORD10247,C00862,P00043,Online,2025-10-13,2,134.71,83.85,0.0,269.42,101.72
ORD10248,C00206,P00150,WeChat Mini Program,2025-04-18,1,646.39,351.84,9.39,637.0,285.16
ORD10249,C00332,P00146,Online,2025-05-29,2,553.58,313.95,0.0,1107.16,479.26
ORD10250,C00467,P00051,WeChat Mini Program,2025-08-31,3,322.51,181.11,1.51,966.02,422.69
ORD10251,C00506,P00033,WeChat Mini Program,2024-12-29,2,406.64,219.28,0.0,813.28,374.72
ORD10252,C00296,P00196,Online,2024-11-14,2,771.81,454.17,0.0,1543.62,635.28
ORD10253,C00127,P00178,Offline,2025-05-16,1,804.67,434.1,3.69,800.98,366.88
ORD10254,C00724,P00048,Online,2025-01-12,2,235.68,136.39,9.35,462.01,189.23
ORD10255,C00444,P00039,Online,2025-01-06,3,50.12,35.22,0.0,150.36,44.7
ORD10256,C00672,P00140,Offline,2025-02-09,2,572.32,380.97,0.0,1144.64,382.7
ORD10257,C00944,P00035,Online,2025-07-28,3,173.0,129.62,0.0,519.0,130.14
ORD10258,C00896,P00070,Online,2024-11-25,3,751.42,406.59,18.62,2235.64,1015.87
ORD10259,C00371,P00147,Offline,2024-11-29,1,827.1,490.43,11.6,815.5,325.07
ORD10260,C00709,P00056,Online,2025-10-23,1,338.46,252.01,0.0,338.46,86.45
ORD10261,C00425,P00020,Online,2024-12-14,3,68.81,46.28,0.0,206.43,67.59
ORD10262,C00236,P00054,Online,2025-04-25,1,16.58,12.48,0.0,16.58,4.1
ORD10263,C00183,P00182,Offline,2025-05-21,3,442.44,309.2,6.94,1320.38,392.78
ORD10264,C00200,P00080,Offline,2025-08-06,3,284.25,225.1,0.0,852.75,177.45
ORD10265,C00117,P00190,Offline,2025-09-15,1,554.24,422.5,5.15,549.09,126.59
ORD10266,C00574,P00061,Offline,2024-11-21,1,196.38,122.79,0.0,196.38,73.59
ORD10267,C00372,P00198,Offline,2024-12-10,1,453.24,252.76,2.58,450.66,197.9
ORD10268,C00669,P00195,Offline,2025-05-19,3,237.62,123.78,5.91,706.95,335.61
ORD10269,C00937,P00056,Offline,2025-06-02,1,338.46,252.01,0.0,338.46,86.45
ORD10270,C00714,P00098,Online,2025-03-13,3,219.95,137.74,4.79,655.06,241.84
ORD10271,C00923,P00151,Online,2025-06-06,3,353.25,251.14,0.0,1059.75,306.33
ORD10272,C00075,P00147,Online,2025-02-21,1,827.1,490.43,2.87,824.23,333.8
ORD10273,C00095,P00189,Online,2025-10-12,2,123.82,98.8,0.0,247.64,50.04
ORD10274,C00927,P00026,Offline,2025-04-20,1,43.41,25.4,0.0,43.41,18.01
ORD10275,C00427,P00071,Offline,2025-07-16,2,60.18,49.98,0.0,120.36,20.4
ORD10276,C00401,P00037,Online,2025-05-24,2,213.1,133.37,11.99,414.21,147.47
ORD10277,C00593,P00132,Offline,2025-04-11,3,94.9,75.26,0.0,284.7,58.92
ORD10278,C00408,P00155,Online,2025-06-27,2,709.73,449.43,0.0,1419.46,520.6
ORD10279,C00278,P00047,Offline,2025-04-19,3,609.93,341.09,7.73,1822.06,798.79
ORD10280,C00000,P00134,Online,2025-03-24,2,373.3,280.28,0.0,746.6,186.04
ORD10281,C00177,P00041,Online,2025-10-29,2,74.22,49.62,0.0,148.44,49.2
ORD10282,C00462,P00107,WeChat Mini Program,2025-05-19,3,92.41,54.94,0.0,277.23,112.41
ORD10283,C00478,P00118,Online,2024-12-19,2,102.8,64.49,7.91,197.69,68.71
ORD10284,C00782,P00077,WeChat Mini Program,2025-10-27,2,756.24,482.97,0.0,1512.48,546.54
ORD10285,C00514,P00085,WeChat Mini Program,2025-01-10,1,462.0,381.34,6.96,455.04,73.7
ORD10286,C00518,P00012,Offline,2024-11-08,2,179.17,99.3,4.78,353.56,154.96
ORD10287,C00645,P00068,Offline,2025-06-11,1,193.23,134.54,0.0,193.23,58.69
ORD10288,C00535,P00003,WeChat Mini Program,2025-07-21,1,564.16,469.89,0.0,564.16,94.27
ORD10289,C00687,P00053,Online,2024-12-30,1,441.17,294.54,0.0,441.17,146.63
