customer_id,registration_channel,registration_date,membership_level,region
C00072,WeChat Mini Program,2025-02-13,Bronze,East
C00073,Online,2024-11-21,Platinum,North
C00074,WeChat Mini Program,2024-11-16,Silver,East
C00075,WeChat Mini Program,2025-04-02,Silver,Central
C00076,Offline,2025-05-21,Platinum,South
C00077,Online,2025-07-30,Bronze,South
C00078,Online,2024-11-30,Bronze,South
C00079,WeChat Mini Program,2025-08-13,Silver,South
C00080,WeChat Mini Program,2025-08-01,Bronze,North
C00081,WeChat Mini Program,2025-04-29,Bronze,East
C00082,WeChat Mini Program,2025-01-25,Silver,West
C00083,WeChat Mini Program,2025-02-15,Bronze,East
C00084,Online,2025-02-10,Gold,East
C00085,Offline,2025-05-06,Bronze,North
C00086,Online,2025-06-02,Silver,Central
C00087,Offline,2025-02-20,Bronze,East
C00088,Offline,2024-12-08,Bronze,Central
C00089,Online,2025-08-05,Gold,East
C00090,WeChat Mini Program,2024-12-13,Bronze,Central
C00091,Offline,2025-07-07,Bronze,West
C00092,WeChat Mini Program,2025-07-28,Bronze,West
C00093,Online,2025-01-08,Bronze,East
C00094,Online,2025-03-26,Bronze,South
C00095,Offline,2025-08-24,Bronze,North
C00096,Online,2025-01-16,Bronze,North
C00097,WeChat Mini Program,2025-08-24,Silver,East
C00098,Offline,2025-08-26,Gold,East
C00099,Offline,2025-06-18,Bronze,West
C00100,WeChat Mini Program,2025-01-15,Gold,Central
C00101,WeChat Mini Program,2025-02-19,Bronze,South
C00102,Online,2025-07-03,Platinum,Central
C00103,Online,2024-12-28,Platinum,North
C00104,Online,2025-02-11,Silver,North
C00105,Online,2025-05-01,Bronze,North
C00106,WeChat Mini Program,2025-04-13,Bronze,Central
C00107,Online,2025-02-01,Silver,Central
C00108,Offline,2025-07-29,Gold,East
C00109,WeChat Mini Program,2024-12-03,Gold,North
C00110,Offline,2025-04-23,Gold,North
C00111,Online,2025-06-18,Bronze,East
C00112,Online,2025-04-29,Bronze,Central
C00113,Online,2025-08-15,Bronze,North
C00114,Offline,2024-12-14,Gold,Central
C00115,WeChat Mini Program,2025-05-09,Silver,South
C00116,WeChat Mini Program,2025-06-29,Silver,East
C00117,Online,2025-01-02,Gold,North
C00118,Online,2024-12-19,Silver,South
C00119,WeChat Mini Program,2025-04-08,Silver,Central
C00120,WeChat Mini Program,2024-12-19,Gold,East
C00121,WeChat Mini Program,2024-11-27,Bronze,East
C00122,Online,2025-04-11,Gold,South
C00123,Offline,2025-05-29,Silver,West
C00124,WeChat Mini Program,2025-06-16,Bronze,East
C00125,Online,2025-06-25,Silver,South
C00126,Online,2025-04-16,Bronze,East
C00127,Offline,2025-01-17,Bronze,South
C00128,WeChat Mini Program,2025-01-03,Bronze,Central
C00129,Online,2025-08-09,Gold,West
C00130,Offline,2025-06-11,Bronze,West
C00131,Offline,2025-05-16,Bronze,East
C00132,Offline,2025-08-01,Platinum,Central
C00133,WeChat Mini Program,2025-06-19,Silver,West
C00134,WeChat Mini Program,2024-12-03,Bronze,East
C00135,WeChat Mini Program,2025-01-01,Bronze,South
C00136,Offline,2025-06-18,Platinum,North
C00137,WeChat Mini Program,2024-12-13,Silver,Central
C00138,Online,2025-01-18,Bronze,South
C00139,WeChat Mini Program,2025-01-27,Silver,East
C00140,WeChat Mini Program,2025-06-28,Bronze,Central
C00141,Online,2025-01-27,Bronze,North
C00142,Online,2025-07-19,Bronze,South
C00143,Online,2025-04-16,Bronze,North
C00144,Offline,2025-08-02,Bronze,East
C00145,Offline,2025-03-29,Bronze,East
C00146,Offline,2024-12-24,Silver,East
C00147,Online,2025-05-04,Gold,South
C00148,WeChat Mini Program,2024-12-20,Bronze,North
C00149,Offline,2025-06-28,Bronze,North
C00150,Offline,2025-06-06,Silver,Central
C00151,Offline,2025-01-15,Bronze,Central
C00152,Online,2025-01-15,Bronze,South
C00153,Offline,2025-02-07,Silver,East
C00154,Online,2025-06-09,Gold,North
C00155,WeChat Mini Program,2025-06-06,Silver,North
C00156,Online,2025-01-19,Platinum,West
C00157,Online,2025-05-25,Silver,South
C00158,Online,2024-11-06,Silver,North
C00159,Online,2025-01-20,Bronze,South
C00160,Offline,2025-02-02,Silver,South
C00161,WeChat Mini Program,2025-02-18,Bronze,North
C00162,WeChat Mini Program,2025-03-07,Bronze,North
C00163,WeChat Mini Program,2025-06-15,Silver,South
C00164,Offline,2025-01-27,Bronze,East
C00165,WeChat Mini Program,2024-11-11,Silver,West
C00166,Offline,2024-11-26,Bronze,East
C00167,WeChat Mini Program,2025-08-28,Bronze,East
C00168,Offline,2024-11-16,Bronze,Central
C00169,Online,2025-07-05,Bronze,West
C00170,Online,2025-06-13,Silver,East
C00171,Offline,2025-06-03,Bronze,North
C00172,WeChat Mini Program,2025-03-15,Bronze,East
C00173,WeChat Mini Program,2025-02-05,Bronze,North
C00174,WeChat Mini Program,2025-06-05,Silver,Central
C00175,Online,2024-11-08,Silver,West
C00176,Offline,2025-04-30,Silver,North
C00177,Offline,2025-03-01,Bronze,West
C00178,Offline,2025-07-24,Silver,East
C00179,WeChat Mini Program,2025-05-09,Gold,West
C00180,WeChat Mini Program,2025-06-29,Bronze,Central
C00181,WeChat Mini Program,2025-06-17,Bronze,West
C00182,Offline,2025-01-30,Silver,South
C00183,WeChat Mini Program,2025-08-24,Gold,Central
C00184,Online,2025-02-23,Silver,North
C00185,Offline,2025-06-23,Bronze,East
C00186,Online,2024-12-02,Bronze,Central
C00187,Online,2025-04-17,Platinum,East
C00188,Offline,2025-05-18,Bronze,South
C00189,Online,2025-07-28,Silver,North
C00190,Online,2025-03-17,Bronze,East
C00191,Online,2025-01-07,Bronze,West
C00192,Online,2025-02-19,Silver,Central
C00193,Online,2025-03-04,Gold,West
C00194,WeChat Mini Program,2025-05-30,Silver,East
C00195,Online,2025-03-14,Bronze,Central
C00196,Offline,2025-08-16,Silver,East
C00197,Offline,2025-07-07,Bronze,North
C00198,Online,2025-05-02,Bronze,South
C00199,Online,2025-07-04,Platinum,East
C00200,Offline,2025-06-09,Silver,North
C00201,WeChat Mini Program,2025-06-15,Bronze,East
C00202,Offline,2025-08-25,Bronze,Central
C00203,Offline,2025-06-26,Silver,South
C00204,Online,2025-03-13,Silver,Central
C00205,Offline,2024-11-09,Platinum,South
C00206,Online,2025-03-03,Gold,South
C00207,Offline,2025-02-26,Bronze,South
C00208,WeChat Mini Program,2025-06-24,Silver,East
C00209,Online,2025-08-20,Silver,Central
C00210,Online,2025-02-02,Bronze,South
C00211,Offline,2025-05-15,Bronze,North
C00212,Online,2025-04-22,Platinum,Central
C00213,Online,2025-07-07,Silver,North
C00214,WeChat Mini Program,2025-02-10,Bronze,West
C00215,Offline,2024-11-23,Gold,South
C00216,Online,2025-08-10,Bronze,East
C00217,Online,2025-02-01,Bronze,North
C00218,Offline,2025-05-22,Silver,East
C00219,Online,2025-06-16,Bronze,West
C00220,Offline,2025-07-29,Silver,South
C00221,Offline,2025-07-27,Bronze,South
C00222,Offline,2025-03-01,Gold,North
C00223,Online,2025-08-24,Bronze,West
C00224,WeChat Mini Program,2024-12-17,Silver,South
C00225,WeChat Mini Program,2024-11-25,Bronze,Central
C00226,WeChat Mini Program,2025-08-12,Silver,East
C00227,WeChat Mini Program,2025-08-08,Bronze,East
C00228,Offline,2024-12-26,Silver,Central
C00229,WeChat Mini Program,2025-04-09,Silver,South
C00230,Offline,2025-03-30,Bronze,Central
C00231,Offline,2025-07-25,Silver,South
C00232,WeChat Mini Program,2025-04-12,Silver,North
C00233,Offline,2025-08-29,Gold,West
C00234,Offline,2025-07-25,Gold,West
C00235,Online,2024-12-21,Platinum,Central
C00236,Offline,2025-06-12,Bronze,North
C00237,WeChat Mini Program,2024-11-14,Bronze,North
C00238,Online,2025-04-23,Gold,North
C00239,Offline,2025-08-24,Bronze,East
C00240,WeChat Mini Program,2025-05-25,Gold,East
C00241,Offline,2025-07-04,Bronze,North
C00242,WeChat Mini Program,2025-02-20,Gold,Central
C00243,Online,2025-04-03,Bronze,East
C00244,WeChat Mini Program,2025-04-13,Silver,North
C00245,Offline,2025-01-20,Silver,North
C00246,Offline,2025-08-22,Silver,South
C00247,WeChat Mini Program,2024-12-16,Bronze,North
C00248,Online,2025-08-11,Bronze,East
C00249,Offline,2025-02-14,Silver,Central
C00250,Offline,2024-12-10,Bronze,North
C00251,WeChat Mini Program,2025-01-16,Bronze,East
C00252,Offline,2025-05-19,Bronze,West
C00253,Offline,2024-11-09,Bronze,Central
C00254,Offline,2025-05-23,Silver,West
C00255,Online,2025-01-01,Bronze,South
C00256,WeChat Mini Program,2025-04-25,Silver,North
C00257,WeChat Mini Program,2025-08-17,Bronze,West
C00258,Offline,2024-12-10,Platinum,Central
C00259,WeChat Mini Program,2025-05-31,Bronze,North
C00260,WeChat Mini Program,2024-11-16,Bronze,West
C00261,WeChat Mini Program,2025-03-28,Bronze,West
C00262,WeChat Mini Program,2025-02-16,Bronze,West
C00263,Online,2025-03-05,Silver,West
C00264,Offline,2025-06-23,Gold,Central
C00265,Offline,2025-06-18,Bronze,West
C00266,Online,2025-04-04,Bronze,South
C00267,Online,2025-07-20,Gold,North
C00268,Online,2025-05-03,Bronze,South
C00269,Offline,2025-07-24,Gold,East
C00270,WeChat Mini Program,2025-02-13,Bronze,West
C00271,WeChat Mini Program,2024-12-23,Bronze,South
C00272,Online,2025-08-22,Silver,South
C00273,Offline,2025-03-18,Bronze,West
C00274,Offline,2025-01-16,Bronze,East
C00275,Offline,2025-03-14,Bronze,West
C00276,Offline,2025-07-18,Gold,South
C00277,Online,2025-07-15,Gold,West
C00278,WeChat Mini Program,2025-08-01,Bronze,Central
C00279,WeChat Mini Program,2024-11-29,Silver,South
C00280,Online,2024-11-29,Bronze,Central
C00281,Online,2024-12-05,Silver,South
C00282,Online,2025-04-13,Bronze,South
C00283,WeChat Mini Program,2025-08-18,Bronze,East
C00284,Offline,2025-07-28,Bronze,East
C00285,Offline,2025-07-15,Silver,North
C00286,WeChat Mini Program,2025-01-26,Bronze,Central
C00287,Online,2025-04-09,Bronze,East
C00288,WeChat Mini Program,2025-01-23,Silver,North
C00289,WeChat Mini Program,2024-12-14,Gold,West
C00290,Online,2025-03-08,Gold,South
C00291,WeChat Mini Program,2025-02-28,Bronze,Central
C00292,WeChat Mini Program,2024-11-11,Silver,Central
C00293,Online,2025-01-29,Platinum,South
C00294,Offline,2025-06-11,Bronze,Central
C00295,Offline,2025-01-08,Bronze,South
C00296,Offline,2025-06-05,Bronze,Central
C00297,Online,2025-04-13,Bronze,East
C00298,Online,2025-05-11,Silver,Central
C00299,WeChat Mini Program,2025-03-01,Bronze,West
C00300,Offline,2024-12-26,Bronze,South
C00301,WeChat Mini Program,2025-06-25,Silver,Central
C00302,Offline,2024-12-16,Silver,Central
C00303,Online,2025-02-17,Bronze,North
C00304,Online,2025-03-13,Gold,Central
C00305,Online,2024-11-14,Gold,West
C00306,Online,2025-08-15,Silver,South
C00307,WeChat Mini Program,2025-06-06,Silver,North
C00308,WeChat Mini Program,2025-04-26,Bronze,West
C00309,Online,2025-01-30,Silver,Central
C00310,Online,2025-01-30,Silver,Central
C00311,WeChat Mini Program,2025-04-05,Bronze,West
C00312,Online,2025-06-24,Bronze,West
C00313,WeChat Mini Program,2025-06-03,Silver,West
C00314,WeChat Mini Program,2025-07-23,Silver,South
C00315,Offline,2025-02-23,Bronze,West
C00316,Online,2025-06-15,Silver,North
C00317,Online,2024-12-23,Bronze,West
C00318,Offline,2025-02-17,Silver,South
C00319,WeChat Mini Program,2025-05-13,Gold,South
C00320,Online,2025-04-17,Bronze,South
C00321,Offline,2025-07-31,Silver,West
C00322,Offline,2024-11-15,Bronze,North
C00323,Offline,2025-05-06,Bronze,East
C00324,Offline,2025-03-08,Bronze,South
C00325,Offline,2025-06-05,Silver,East
C00326,Offline,2025-02-25,Silver,East
C00327,Offline,2024-12-06,Bronze,North
C00328,Online,2024-11-22,Silver,Central
C00329,Offline,2025-06-30,Silver,West
C00330,WeChat Mini Program,2025-07-18,Silver,East
C00331,Online,2024-11-26,Silver,Central
C00332,Offline,2025-07-20,Bronze,West
C00333,WeChat Mini Program,2024-12-24,Bronze,East
C00334,WeChat Mini Program,2025-01-31,Bronze,East
C00335,Online,2025-05-12,Silver,East
C00336,WeChat Mini Program,2025-03-02,Silver,Central
C00337,Offline,2025-08-26,Silver,North
C00338,Online,2025-02-23,Bronze,South
C00339,Online,2025-07-23,Gold,West
C00340,WeChat Mini Program,2025-06-16,Gold,South
C00341,WeChat Mini Program,2024-11-14,Silver,East
C00342,WeChat Mini Program,2025-01-09,Bronze,Central
C00343,Online,2025-01-29,Gold,South
C00344,Offline,2024-11-16,Silver,North
C00345,Offline,2024-11-24,Bronze,East
C00346,WeChat Mini Program,2025-01-13,Gold,Central
C00347,Offline,2025-03-16,Bronze,West
C00348,Offline,2024-11-28,Bronze,South
C00349,Online,2025-06-22,Bronze,Central
C00350,Offline,2024-12-12,Bronze,West
C00351,Online,2024-11-24,Bronze,West
C00352,Online,2024-11-18,Silver,Central
C00353,Offline,2024-12-29,Silver,South
C00354,Offline,2025-01-25,Silver,West
C00355,WeChat Mini Program,2025-06-03,Bronze,Central
C00356,Offline,2025-03-01,Silver,East
C00357,Online,2025-06-20,Bronze,North
C00358,WeChat Mini Program,2025-03-30,Bronze,North
C00359,WeChat Mini Program,2025-07-13,Silver,North
C00360,Offline,2025-04-14,Bronze,West
C00361,WeChat Mini Program,2025-05-21,Platinum,West
C00362,WeChat Mini Program,2025-03-21,Platinum,Central
C00363,Online,2025-01-04,Platinum,East
C00364,Online,2025-02-19,Bronze,Central
C00365,Offline,2024-12-25,Gold,South
C00366,WeChat Mini Program,2025-01-12,Gold,Central
C00367,Online,2025-01-17,Gold,West
C00368,Offline,2025-02-02,Bronze,South
C00369,WeChat Mini Program,2025-03-13,Silver,West
C00370,Offline,2025-08-28,Bronze,West
C00371,Online,2024-12-05,Gold,North
C00372,Online,2025-02-18,Bronze,West
C00373,WeChat Mini Program,2025-04-16,Bronze,South
C00374,Offline,2025-02-18,Gold,West
C00375,Online,2025-06-20,Bronze,West
C00376,Offline,2025-07-12,Silver,Central
C00377,Offline,2024-11-11,Bronze,South
C00378,WeChat Mini Program,2025-04-01,Bronze,Central
C00379,Offline,2025-04-07,Bronze,North
C00380,Online,2024-11-25,Bronze,East
C00381,WeChat Mini Program,2025-06-10,Bronze,North
C00382,WeChat Mini Program,2025-04-14,Bronze,West
C00383,WeChat Mini Program,2025-01-29,Silver,North
C00384,Online,2025-01-04,Gold,South
C00385,WeChat Mini Program,2025-04-22,Silver,North
C00386,Online,2025-02-10,Bronze,South
C00387,Online,2024-11-09,Gold,North
C00388,Offline,2025-02-10,Gold,East
C00389,Online,2025-04-20,Silver,West
C00390,WeChat Mini Program,2025-03-22,Platinum,East
C00391,WeChat Mini Program,2024-12-23,Bronze,Central
C00392,Offline,2025-01-11,Silver,Central
C00393,WeChat Mini Program,2025-06-06,Bronze,East
C00394,Online,2025-04-21,Platinum,South
C00395,Online,2025-01-09,Bronze,East
C00396,Online,2024-12-16,Bronze,West
C00397,WeChat Mini Program,2025-02-01,Bronze,East
C00398,WeChat Mini Program,2025-05-20,Platinum,West
C00399,Offline,2024-11-12,Bronze,West
C00400,Online,2025-04-17,Bronze,North
C00401,WeChat Mini Program,2025-06-30,Silver,South
C00402,Offline,2025-07-30,Bronze,East
C00403,Online,2025-07-21,Gold,East
C00404,Offline,2025-06-12,Bronze,Central
C00405,WeChat Mini Program,2025-02-13,Bronze,East
C00406,Online,2024-11-16,Silver,North
C00407,WeChat Mini Program,2025-02-21,Platinum,Central
C00408,Offline,2025-07-31,Bronze,West
C00409,Offline,2025-06-15,Silver,East
C00410,Online,2024-11-29,Bronze,West
C00411,Online,2025-04-07,Bronze,Central
C00412,WeChat Mini Program,2025-05-12,Bronze,North
C00413,Offline,2025-03-18,Silver,West
C00414,Online,2025-06-05,Bronze,East
C00415,Offline,2025-08-08,Bronze,South
C00416,Offline,2025-04-16,Bronze,North
C00417,WeChat Mini Program,2025-01-18,Silver,North
C00418,Online,2025-02-20,Bronze,East
C00419,WeChat Mini Program,2025-08-20,Bronze,South
C00420,Offline,2025-07-10,Bronze,North
C00421,Online,2025-07-09,Bronze,East
C00422,Offline,2025-08-25,Bronze,Central
C00423,WeChat Mini Program,2025-03-01,Bronze,West
C00424,Offline,2024-12-13,Gold,West
C00425,Online,2025-05-30,Bronze,North
C00426,Offline,2025-07-13,Bronze,East
C00427,WeChat Mini Program,2024-12-20,Bronze,West
C00428,Online,2025-05-13,Bronze,East
C00429,Online,2025-08-12,Bronze,South
C00430,Offline,2025-06-07,Bronze,North
C00431,WeChat Mini Program,2025-02-22,Gold,South
C00432,WeChat Mini Program,2025-05-24,Gold,Central
C00433,WeChat Mini Program,2025-05-29,Silver,East
C00434,WeChat Mini Program,2025-03-05,Bronze,West
C00435,Offline,2025-03-04,Silver,Central
C00436,Online,2025-08-17,Bronze,North
C00437,Online,2025-03-26,Silver,East
C00438,Online,2025-06-14,Silver,East
C00439,Offline,2025-03-09,Silver,North
C00440,WeChat Mini Program,2025-07-17,Bronze,Central
C00441,Offline,2025-04-11,Bronze,East
C00442,Offline,2024-12-24,Silver,Central
C00443,Online,2025-08-07,Bronze,West
C00444,Online,2025-05-24,Gold,West
C00445,WeChat Mini Program,2025-06-08,Platinum,Central
C00446,WeChat Mini Program,2025-01-19,Bronze,North
C00447,WeChat Mini Program,2024-11-30,Bronze,Central
C00448,WeChat Mini Program,2024-12-12,Silver,Central
C00449,WeChat Mini Program,2025-03-16,Silver,West
C00450,Offline,2025-01-19,Bronze,West
C00451,Offline,2025-04-15,Bronze,North
C00452,Online,2025-01-15,Silver,North
C00453,Offline,2025-01-04,Bronze,South
C00454,WeChat Mini Program,2025-03-20,Bronze,South
C00455,Online,2025-02-05,Bronze,East
C00456,Offline,2025-08-22,Bronze,West
C00457,Online,2025-03-25,Silver,North
C00458,Offline,2025-05-13,Gold,West
C00459,Online,2025-02-02,Bronze,Central
C00460,Online,2025-05-15,Silver,East
C00461,Offline,2025-06-25,Bronze,Central
C00462,Online,2024-12-15,Gold,Central
C00463,WeChat Mini Program,2025-01-02,Silver,North
C00464,WeChat Mini Program,2025-05-15,Silver,East
C00465,WeChat Mini Program,2025-03-11,Bronze,North
C00466,WeChat Mini Program,2025-01-15,Gold,Central
C00467,Online,2025-07-30,Silver,North
C00468,Online,2025-02-02,Platinum,South
C00469,Online,2024-11-12,Gold,Central
C00470,WeChat Mini Program,2025-06-07,Bronze,West
C00471,Offline,2025-03-30,Bronze,North
C00472,WeChat Mini Program,2025-01-25,Bronze,West
C00473,Online,2025-06-17,Bronze,East
C00474,WeChat Mini Program,2024-12-15,Gold,Central
C00475,Online,2025-05-25,Bronze,East
C00476,Online,2025-07-28,Silver,East
C00477,Offline,2025-05-24,Silver,West
C00478,WeChat Mini Program,2025-01-27,Silver,Central
C00479,Offline,2025-02-05,Bronze,South
C00480,Online,2025-07-30,Bronze,North
C00481,WeChat Mini Program,2025-06-05,Gold,North
C00482,WeChat Mini Program,2025-08-25,Gold,East
C00483,Offline,2025-02-11,Bronze,North
C00484,Online,2025-03-06,Silver,West
C00485,Offline,2025-08-19,Gold,West
C00486,WeChat Mini Program,2024-12-15,Bronze,East
C00487,Offline,2025-03-02,Silver,North
C00488,WeChat Mini Program,2025-08-21,Bronze,Central
C00489,WeChat Mini Program,2025-05-19,Bronze,North
C00490,Online,2024-12-21,Bronze,Central
C00491,Offline,2025-03-10,Silver,North
C00492,Offline,2025-01-07,Silver,South
C00493,Offline,2024-12-05,Silver,Central
C00494,Offline,2025-01-10,Platinum,West
C00495,Offline,2025-04-08,Bronze,East
C00496,WeChat Mini Program,2025-06-26,Bronze,East
C00497,Online,2025-07-07,Bronze,Central
C00498,Offline,2025-03-09,Bronze,West
C00499,Online,2024-12-09,Gold,West
C00500,Offline,2025-05-24,Platinum,Central
C00501,WeChat Mini Program,2025-03-10,Bronze,Central
C00502,Offline,2025-01-11,Platinum,North
C00503,Online,2025-04-15,Bronze,Central
C00504,WeChat Mini Program,2024-12-16,Gold,Central
C00505,WeChat Mini Program,2025-07-12,Bronze,West
C00506,Online,2025-08-31,Gold,West
C00507,WeChat Mini Program,2025-02-04,Silver,Central
C00508,WeChat Mini Program,2025-02-23,Gold,West
C00509,WeChat Mini Program,2025-08-04,Silver,South
C00510,Offline,2025-07-11,Silver,East
C00511,Online,2024-11-12,Bronze,North
C00512,Online,2025-04-17,Gold,East
C00513,Online,2025-07-29,Bronze,West
C00514,Offline,2025-04-02,Silver,West
C00515,Online,2025-05-07,Bronze,South
C00516,Offline,2024-11-21,Gold,South
C00517,Offline,2025-05-06,Bronze,East
C00518,Online,2025-06-08,Bronze,East
C00519,WeChat Mini Program,2025-05-15,Bronze,South
C00520,Online,2025-05-02,Gold,East
C00521,Offline,2025-02-04,Gold,West
C00522,WeChat Mini Program,2025-04-16,Bronze,North
C00523,Online,2025-06-17,Gold,East
C00524,WeChat Mini Program,2025-08-25,Bronze,Central
C00525,Online,2025-05-12,Gold,South
C00526,Offline,2025-06-06,Silver,South
C00527,Offline,2025-03-10,Silver,West
C00528,Offline,2025-04-22,Bronze,North
C00529,Offline,2025-04-16,Platinum,South
C00530,Online,2024-12-04,Bronze,North
C00531,Online,2024-12-11,Silver,Central
C00532,Online,2025-06-24,Gold,West
C00533,Online,2025-03-11,Gold,East
C00534,Offline,2025-05-14,Bronze,North
C00535,Offline,2025-07-22,Bronze,East
C00536,WeChat Mini Program,2025-01-15,Bronze,West
C00537,Online,2025-04-26,Silver,Central
C00538,Online,2025-01-26,Silver,South
C00539,Online,2025-04-15,Silver,West
C00540,Offline,2024-11-17,Silver,West
C00541,Offline,2025-08-26,Bronze,East
C00542,Offline,2025-06-13,Silver,North
C00543,Online,2025-06-25,Bronze,Central
C00544,Online,2024-12-27,Bronze,North
C00545,Offline,2024-12-05,Gold,South
C00546,Offline,2024-12-28,Bronze,South
C00547,Offline,2025-05-01,Silver,West
C00548,Online,2024-11-26,Silver,West
C00549,Online,2025-01-02,Silver,South
C00550,WeChat Mini Program,2025-08-21,Bronze,South
C00551,WeChat Mini Program,2025-01-18,Bronze,North
C00552,WeChat Mini Program,2025-07-03,Silver,South
C00553,Offline,2025-02-08,Silver,North
C00554,WeChat Mini Program,2025-01-31,Gold,North
C00555,Offline,2025-04-10,Gold,North
C00556,Online,2025-02-19,Bronze,East
C00557,Offline,2025-02-12,Gold,East
C00558,Online,2025-01-26,Gold,West
C00559,WeChat Mini Program,2025-05-09,Bronze,Central
C00560,Online,2025-06-09,Silver,South
C00561,WeChat Mini Program,2024-11-27,Bronze,East
C00562,Online,2025-02-13,Platinum,West
C00563,WeChat Mini Program,2025-08-04,Silver,North
C00564,Offline,2025-05-24,Bronze,East
C00565,WeChat Mini Program,2025-03-24,Platinum,North
C00566,Online,2024-12-02,Gold,East
C00567,WeChat Mini Program,2025-03-30,Silver,East
C00568,Online,2024-11-17,Bronze,Central
C00569,WeChat Mini Program,2024-11-20,Bronze,East
C00570,Offline,2025-02-12,Silver,Central
C00571,Online,2025-04-15,Bronze,West
C00572,Offline,2024-11-07,Bronze,West
C00573,Online,2024-12-02,Silver,North
C00574,Online,2025-07-14,Bronze,Central
C00575,Online,2024-12-23,Bronze,South
C00576,Online,2024-12-18,Bronze,South
C00577,Offline,2024-11-17,Bronze,South
C00578,Offline,2025-03-22,Bronze,East
C00579,WeChat Mini Program,2025-02-14,Silver,West
C00580,Online,2025-04-24,Gold,South
C00581,Offline,2025-06-22,Silver,West
C00582,WeChat Mini Program,2025-02-16,Bronze,West
C00583,WeChat Mini Program,2025-05-04,Bronze,North
C00584,Offline,2025-03-18,Bronze,Central
C00585,Online,2024-12-07,Silver,West
C00586,Online,2025-03-10,Silver,East
C00587,Online,2025-03-19,Gold,East
C00588,Online,2025-04-13,Gold,North
C00589,WeChat Mini Program,2025-06-09,Bronze,Central
C00590,Offline,2025-01-02,Bronze,East
C00591,Online,2025-04-10,Bronze,West
C00592,Online,2025-01-22,Bronze,West
C00593,Offline,2024-11-08,Platinum,North
C00594,WeChat Mini Program,2025-03-17,Silver,West
C00595,Offline,2025-03-27,Silver,North
C00596,Online,2025-01-02,Silver,South
C00597,Online,2024-11-30,Gold,East
C00598,Online,2025-07-29,Platinum,West
